SPRITE_NUM,TOP_X,TOP_Y,WIDTH,HEIGHT
sprite1,108,0,47,89
sprite2,54,1,47,87
sprite3,2,2,47,84
sprite4,161,2,1,84
sprite5,222,2,1,84
sprite6,329,3,47,81
sprite7,380,3,1,81
sprite8,448,3,37,84
sprite9,494,4,47,79
sprite10,549,4,49,78
sprite11,280,5,47,78
sprite12,659,6,1,78
sprite13,226,7,47,77
sprite14,604,9,49,62
sprite15,165,13,51,73
sprite16,386,15,51,71
sprite17,670,19,41,63
sprite18,550,90,48,82
sprite19,601,92,1,83
sprite20,3,93,52,75
sprite21,62,95,64,72
sprite22,136,95,68,75
sprite23,277,95,1,76
sprite24,281,95,49,78
sprite25,340,95,68,78
sprite26,207,96,68,75
sprite27,418,97,71,78
sprite28,506,100,32,74
sprite29,607,101,61,72
sprite30,5,175,40,67
sprite31,163,176,1,71
sprite32,105,180,56,57
sprite33,168,180,32,74
sprite34,405,182,41,63
sprite35,323,183,71,62
sprite36,397,183,1,64
sprite37,458,183,57,63
sprite38,208,184,59,55
sprite39,274,184,45,62
sprite40,522,187,47,59
sprite41,577,187,71,59
sprite42,54,189,44,50
sprite43,509,267,1,79
sprite44,281,269,1,81
sprite45,515,272,74,62
sprite46,109,274,1,77
sprite47,286,274,51,76
sprite48,114,275,53,76
sprite49,6,276,50,76
sprite50,402,276,63,72
sprite51,175,281,62,72
sprite52,63,286,41,63
sprite53,479,290,24,24
sprite54,369,295,24,24
sprite55,243,296,28,16
sprite56,347,298,16,16
sprite57,602,299,36,28
sprite58,3,358,34,81
sprite59,85,360,70,78
sprite60,335,361,42,83
sprite61,234,362,48,82
sprite62,162,363,65,78
sprite63,539,363,34,81
sprite64,461,365,72,78
sprite65,47,366,32,74
sprite66,380,366,75,78
sprite67,293,369,32,74
sprite68,607,385,36,28
sprite69,2,457,51,76
sprite70,123,463,63,72
sprite71,199,469,48,42
sprite72,272,475,82,32
sprite73,357,475,82,32
sprite74,85,478,24,24
sprite75,63,481,16,16
sprite76,115,542,50,81
sprite77,2,543,51,74
sprite78,58,548,43,67
sprite79,175,550,50,62
sprite80,232,551,47,62
sprite81,376,562,63,53
sprite82,286,587,82,30
sprite83,250,628,55,56
sprite84,67,631,51,73
sprite85,129,631,51,73
sprite86,2,632,55,56
sprite87,186,632,51,73
sprite88,539,650,177,58
